Month,CSA meaning: (United States),local eggs: (United States),local honey: (United States),local farms: (United States)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,27,0,29,25
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,19,0,0
2004-07,0,35,0,0
2004-08,0,0,0,0
2004-09,0,0,16,0
2004-10,0,0,30,0
2004-11,0,0,0,0
2004-12,0,0,0,16
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,0,23,14,0
2005-05,0,0,21,0
2005-06,0,0,0,0
2005-07,0,0,0,0
2005-08,0,0,13,0
2005-09,0,0,0,0
2005-10,0,0,0,0
2005-11,0,0,0,10
2005-12,0,0,13,0
2006-01,0,0,0,9
2006-02,0,0,0,0
2006-03,0,0,16,0
2006-04,0,0,20,10
2006-05,12,0,25,9
2006-06,0,0,9,18
2006-07,0,0,9,13
2006-08,0,0,0,19
2006-09,0,0,0,19
2006-10,0,0,16,18
2006-11,0,0,0,21
2006-12,0,0,0,11
2007-01,0,0,9,0
2007-02,0,0,12,13
2007-03,0,0,14,17
2007-04,0,13,14,17
2007-05,0,0,18,26
2007-06,0,0,14,14
2007-07,0,0,16,21
2007-08,0,0,8,22
2007-09,0,0,10,17
2007-10,0,0,15,25
2007-11,0,0,10,15
2007-12,5,0,15,9
2008-01,0,0,10,20
2008-02,0,0,11,9
2008-03,0,5,20,21
2008-04,0,0,34,18
2008-05,0,0,22,25
2008-06,0,0,23,24
2008-07,0,4,15,21
2008-08,0,0,13,22
2008-09,0,0,12,21
2008-10,0,0,15,24
2008-11,0,0,17,21
2008-12,0,0,12,22
2009-01,0,0,15,14
2009-02,0,0,16,20
2009-03,0,4,26,18
2009-04,0,0,34,22
2009-05,0,6,32,17
2009-06,0,7,21,27
2009-07,0,0,16,22
2009-08,0,0,16,31
2009-09,0,5,26,23
2009-10,0,4,18,23
2009-11,0,3,16,33
2009-12,0,4,9,28
2010-01,0,5,13,26
2010-02,0,0,18,22
2010-03,0,6,31,33
2010-04,0,8,72,35
2010-05,0,0,35,28
2010-06,0,5,29,28
2010-07,0,0,21,27
2010-08,0,14,19,28
2010-09,0,6,26,26
2010-10,0,5,25,28
2010-11,0,6,17,24
2010-12,0,0,17,21
2011-01,0,5,18,22
2011-02,0,5,23,21
2011-03,0,5,45,28
2011-04,0,6,56,26
2011-05,0,6,62,28
2011-06,0,4,37,29
2011-07,0,3,27,28
2011-08,3,4,24,25
2011-09,0,3,34,27
2011-10,0,4,32,27
2011-11,0,6,30,28
2011-12,0,4,26,17
2012-01,0,5,29,22
2012-02,0,6,35,27
2012-03,2,6,63,27
2012-04,0,8,67,32
2012-05,0,5,52,28
2012-06,0,5,31,36
2012-07,0,5,28,28
2012-08,0,5,27,24
2012-09,1,6,38,27
2012-10,0,5,35,25
2012-11,0,4,21,25
2012-12,0,6,30,24
2013-01,0,7,38,25
2013-02,0,7,34,27
2013-03,0,8,51,26
2013-04,1,8,82,30
2013-05,0,6,79,27
2013-06,0,6,45,24
2013-07,0,5,37,27
2013-08,0,6,40,24
2013-09,1,3,42,24
2013-10,1,6,37,29
2013-11,0,6,30,26
2013-12,0,5,29,24
2014-01,0,6,38,26
2014-02,0,8,35,24
2014-03,2,6,53,27
2014-04,2,9,73,27
2014-05,3,7,70,30
2014-06,0,7,50,27
2014-07,0,5,41,28
2014-08,0,6,39,26
2014-09,3,5,41,29
2014-10,0,7,39,31
2014-11,2,6,29,25
2014-12,2,5,29,20
2015-01,1,8,37,23
2015-02,0,5,36,20
2015-03,2,7,60,26
2015-04,2,8,75,25
2015-05,3,6,76,29
2015-06,3,8,45,29
2015-07,3,7,37,26
2015-08,1,8,38,23
2015-09,3,7,38,27
2015-10,3,5,37,29
2015-11,3,6,34,27
2015-12,3,5,32,23
2016-01,3,8,38,20
2016-02,3,8,44,23
2016-03,3,10,66,27
2016-04,3,7,73,28
2016-05,3,9,63,30
2016-06,3,6,44,25
2016-07,2,5,35,23
2016-08,2,5,38,23
2016-09,4,3,44,26
2016-10,3,5,41,35
2016-11,4,7,36,28
2016-12,3,5,34,22
2017-01,5,6,43,18
2017-02,5,7,51,25
2017-03,5,9,67,24
2017-04,7,10,87,27
2017-05,7,9,71,28
2017-06,8,6,51,24
2017-07,6,7,45,30
2017-08,5,4,43,24
2017-09,8,5,45,26
2017-10,6,6,42,33
2017-11,5,6,38,32
2017-12,6,6,40,21
2018-01,7,7,49,22
2018-02,7,7,51,22
2018-03,7,8,65,25
2018-04,6,11,75,25
2018-05,5,7,83,29
2018-06,5,7,54,28
2018-07,7,5,49,28
2018-08,8,7,48,27
2018-09,8,7,49,26
2018-10,7,7,45,31
2018-11,5,7,45,28
2018-12,6,6,42,23
2019-01,8,9,42,21
2019-02,8,8,44,24
2019-03,6,7,61,24
2019-04,12,9,88,27
2019-05,9,7,73,27
2019-06,9,7,54,31
2019-07,9,7,45,29
2019-08,8,7,47,25
2019-09,9,7,49,29
2019-10,9,6,48,33
2019-11,8,8,44,30
2019-12,10,5,39,24
2020-01,10,7,51,20
2020-02,10,8,52,23
2020-03,9,17,63,39
2020-04,12,15,62,78
2020-05,12,12,65,72
2020-06,12,9,50,44
2020-07,14,8,49,45
2020-08,10,10,50,44
2020-09,10,10,49,50
2020-10,13,10,46,51
2020-11,10,5,42,40
2020-12,14,8,46,35
2021-01,16,8,44,27
2021-02,15,10,49,32
2021-03,16,12,70,34
2021-04,16,11,88,39
2021-05,15,8,79,38
2021-06,19,10,57,38
2021-07,16,8,54,35
2021-08,12,8,50,32
2021-09,17,8,55,36
2021-10,15,8,45,42
2021-11,16,8,51,40
2021-12,18,7,48,31
2022-01,24,10,54,34
2022-02,17,11,55,37
2022-03,17,13,74,41
2022-04,22,15,92,51
2022-05,19,15,84,44
2022-06,19,13,63,41
2022-07,23,10,55,39
2022-08,25,12,55,40
2022-09,19,14,53,38
2022-10,19,14,51,42
2022-11,17,12,52,43
2022-12,20,13,61,35
2023-01,19,35,51,43
2023-02,21,23,69,44
2023-03,25,15,78,41
2023-04,27,16,100,48
2023-05,21,14,94,47
2023-06,24,9,74,42
2023-07,25,11,58,38
2023-08,23,11,55,44
2023-09,16,13,72,48
2023-10,17,13,67,46
2023-11,16,12,65,48
2023-12,22,10,68,37
2024-01,20,19,67,48
2024-02,17,17,69,44
2024-03,0,0,0,0
